iter	commit	parent	metric	direction	elapsed_s	seed	status	sigma	harness_sha	note	cost_usd	executor_s
1	7d7216abc662dcfb57c9e177be062707ae6b5bdb	d89c84a0954beeb1982c6247b3cfd6cf95663733	138.221929332	minimize	46.7523429394	42	discard	0	82cee1179f87c55065ca911e3cd247eb4ad3d35ed63614fe0ce1b22e34616eee	持平 delta=0：分数与 best 完全相同，改动很可能没有生效	nan	36.446660667
2	de2ae65ecef57fdc0ffaae1b32ea0024966004cb	d89c84a0954beeb1982c6247b3cfd6cf95663733	138.222012297	minimize	3.47693490982	42	discard	0	82cee1179f87c55065ca911e3cd247eb4ad3d35ed63614fe0ce1b22e34616eee	变差 delta=-8.29655e-05	nan	43.645779208
3	2fab21b45b15ce71768875692956226a22568ff8	d89c84a0954beeb1982c6247b3cfd6cf95663733	138.221918042	minimize	3.84293699265	42	discard	0	82cee1179f87c55065ca911e3cd247eb4ad3d35ed63614fe0ce1b22e34616eee	within noise: delta=1.12893e-05 <= gate=0.1	nan	56.5871460829
